Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Flow Duration,FIN Flag Count,SYN Flag Count,ACK Flag Count,Packet Length Mean,Down/Up Ratio,Average Packet Size,Label
5,0,2.594556896,0.432426149,11562668,0,0,1,6,0,7.2,DDoS
2,2,16743.648960739,128.3038234539,31176,0,0,0,111.4,1,139.25,BENIGN
9,5,124.1206991,0.148991665,93964988,0,0,1,777.9333333,0,833.5,DDoS
5,0,5.759366746,0.959894458,5208906,0,0,1,6,0,7.2,DDoS
2,2,1252747.25274725,21978.021978022,182,0,0,0,55.4,1,69.25,BENIGN
5,0,8.39166238,1.398610397,3574977,0,0,1,6,0,7.2,DDoS
3,6,18676.02957,14.44891826,622884,0,0,0,1163.3,2,1292.555556,DDoS
3,5,16869.83558,11.60136548,689574,0,0,0,1292.555556,1,1454.125,DDoS
4,0,2.37700768,0.396167947,10096728,0,0,1,6,0,7.5,DDoS
2,2,8320.8736917376,130.0136514334,30766,0,0,0,61.2,1,76.5,BENIGN
4,0,4.931285617,0.821880936,4866885,0,0,1,6,0,7.5,DDoS
3,5,315385.45,217.0021158,36866,0,0,0,1291.888889,1,1453.375,DDoS
2,2,733727.810650888,11834.3195266272,338,0,0,0,55.4,1,69.25,BENIGN
3,5,6162.463799,4.237918885,1887719,0,0,0,1292.555556,1,1454.125,DDoS
2,2,400852.878464819,4264.3923240938,938,0,0,0,84.4,1,105.5,BENIGN
5,0,97.7787368336,16.8584029023,296588,0,0,1,4.8333333333,0,5.8,BENIGN
1,1,0,22222.2222222222,90,0,0,1,0,1,0,BENIGN
1,1,272727.272727273,45454.5454545455,44,0,0,1,6,1,9,BENIGN
5,0,3.158639178,0.526439863,9497761,0,0,1,6,0,7.2,DDoS
2,2,893280.632411067,15810.2766798419,253,0,0,0,52,1,65,BENIGN
2,2,5547.3134232084,129.0072889118,31006,0,0,0,41.4,1,51.75,BENIGN
1,1,0,40816.3265306122,49,0,0,1,0,1,0,BENIGN
8,5,160.2565864,0.178627765,72777040,0,0,1,833.5,0,897.6153846,DDoS
3,5,11839.19136,8.141797546,982584,0,0,0,1292.555556,1,1454.125,DDoS
3,0,0,400.1600640256,7497,0,0,1,0,0,0,BENIGN
3,4,318556.6728,191.7860763,36499,0,0,0,1453.375,1,1661,DDoS
5,0,4.259652515,0.709942086,7042828,0,0,1,6,0,7.2,DDoS
2,2,1266666.66666667,22222.2222222222,180,0,0,0,53,1,66.25,BENIGN
2,2,7896.8317146951,127.3682534628,31405,0,0,0,57.4,1,71.75,BENIGN
3,5,6462.153103,4.444014856,1800174,0,0,0,1292.555556,1,1454.125,DDoS
4,0,11.13698397,1.856163996,2154982,0,0,1,6,0,7.5,DDoS
2,0,3000000,500000,4,1,0,0,6,0,9,BENIGN
3,4,9597.266268,5.775024833,1212116,0,0,0,1454.125,1,1661.857143,DDoS
2,2,1418604.65116279,23255.8139534884,172,0,0,0,55.2,1,69,BENIGN
1,1,0,31250,64,0,0,1,0,1,0,BENIGN
4,0,4.486935726,0.747822621,5348862,0,0,1,6,0,7.5,DDoS
2,0,15500000,1000000,2,0,1,1,20.6666666667,0,31,BENIGN
2,2,1358490.56603774,25157.2327044025,159,0,0,0,52.4,1,65.5,BENIGN
4,0,3.128619095,0.521436516,7671116,0,0,1,6,0,7.5,DDoS
4,0,2.999711653,0.499951942,8000769,0,0,1,6,0,7.5,DDoS
10,8,1976.0946381933,4.4246428023,4068125,0,0,0,423.1052631579,0,446.6111111111,BENIGN
5,0,10.70735652,1.784559421,2801812,0,0,1,6,0,7.2,DDoS
3,5,942220.4214,648.2982172,12340,0,0,0,1291.888889,1,1453.375,DDoS
2,2,1284210.52631579,21052.6315789474,190,0,0,0,55.8,1,69.75,BENIGN
3,5,338535.4491,232.9305576,34345,0,0,0,1291.888889,1,1453.375,DDoS
1,1,7870.7273194552,64.2508352609,31128,0,0,0,99.3333333333,1,149,BENIGN
2,2,869565.217391304,21739.1304347826,184,0,0,0,38.4,1,48,BENIGN
1,1,2157.4461527519,23.7081994808,84359,0,0,0,80,1,120,BENIGN
5,0,555.1546106,92.52576843,54039,0,0,1,6,0,7.2,DDoS
3,5,106680.7281,73.36420744,109045,0,0,0,1292.555556,1,1454.125,DDoS
2,2,4800.5558538357,63.1652086031,63326,0,0,0,72.2,1,90.25,BENIGN
10,9,87.0399847382,0.3713810263,51160395,0,0,0,222.65,0,234.3684210526,BENIGN
2,1,208737.86407767,14563.1067961165,206,0,1,1,20,0,26.6666666667,BENIGN
5,0,11.2953806,1.882563434,2655953,0,0,1,6,0,7.2,DDoS
8,5,120.1798853,0.134025779,96996265,0,0,1,833.0714286,0,897.1538462,DDoS
5,0,3.20245231,0.533742052,9367821,0,0,1,6,0,7.2,DDoS
1,1,0,25641.0256410256,78,0,0,1,0,1,0,BENIGN
3,5,8975.727035,6.172596603,1296051,0,0,0,1292.555556,1,1454.125,DDoS
2,0,9250000,500000,4,0,1,1,24.6666666667,0,37,BENIGN
3,4,9391.047143,5.65093527,1238733,0,0,0,1454.125,1,1661.857143,DDoS
1,1,184615.384615385,30769.2307692308,65,0,0,1,6,1,9,BENIGN
9,7,162.9307064,0.223518074,71582578,0,0,1,686.4117647,0,729.3125,DDoS
20,17,49.5504111602,0.3202384651,115538900,0,0,0,150.6578947368,0,154.7297297297,BENIGN
5,0,1.449734865,0.241622478,20693439,0,0,1,6,0,7.2,DDoS
3,5,126842.3062,87.27431408,91665,0,0,0,1291.888889,1,1453.375,DDoS
3,4,6916.938438,4.164321757,1680946,0,0,0,1453.375,1,1661,DDoS
6,6,32824.8574125636,95.1904999881,126063,0,0,0,318.3076923077,1,344.8333333333,BENIGN
2,0,4000000,666666.666666667,3,0,0,1,6,0,9,BENIGN
1,1,89.6167529141,4.1682210658,479821,1,0,0,16.3333333333,1,24.5,BENIGN
8,7,130.3337234,0.167710891,89439630,0,0,1,728.9375,0,777.5333333,DDoS
3,7,6707.270642,5.768702711,1733492,0,0,0,1057,2,1162.7,DDoS
3,3,10151.2605,5.23845902,1145375,0,0,0,1661,1,1937.833333,DDoS
3,4,13737.27969,8.270487474,846383,0,0,0,1453.375,1,1661,DDoS
8,5,160.5656539,0.179064382,72599586,0,0,1,833.0714286,0,897.1538462,DDoS
2,0,9.2446023078,0.2498541164,8004671,0,1,1,37,0,55.5,BENIGN
2,1,74074.0740740741,12345.6790123457,243,0,0,1,6,0,8,BENIGN
18,26,2296.1263607608,2.8339287482,15526149,0,0,0,792.2222222222,1,810.2272727273,BENIGN
3,5,6698.397636,4.606479935,1736684,0,0,0,1292.555556,1,1454.125,DDoS
1,1,1743.2814421988,16.2923499271,122757,0,0,0,90.6666666667,1,136,BENIGN
3,5,537072.9455,369.3444137,21660,0,0,0,1292.555556,1,1454.125,DDoS
2,2,725663.716814159,17699.1150442478,226,0,0,0,39.4,1,49.25,BENIGN
3,6,8915.159987,6.897312807,1304856,0,0,0,1163.3,2,1292.555556,DDoS
2,1,204761.904761905,14285.7142857143,210,0,1,1,20,0,26.6666666667,BENIGN
5,0,2.520937648,0.420156275,11900334,0,0,1,6,0,7.2,DDoS
2,2,7907.1877633029,129.6260289066,30858,0,0,0,55.2,1,69,BENIGN
2,0,160.4020745335,26.7336790889,74812,0,0,1,6,0,9,BENIGN
3,6,11227.79993,8.686512452,1036089,0,0,0,1163.3,2,1292.555556,DDoS
4,0,3.261461591,0.543576932,7358664,0,0,1,6,0,7.5,DDoS
2,2,1036036.03603604,18018.018018018,222,0,0,0,53.6,1,67,BENIGN
4,0,3.983458027,0.663909671,6024916,0,0,1,6,0,7.5,DDoS
2,2,1268292.68292683,24390.243902439,164,0,0,0,50.4,1,63,BENIGN
3,6,9343.955225,7.229055018,1244976,0,0,0,1163.3,2,1292.555556,DDoS
8,5,142.9497772,0.159336972,81588095,0,0,1,833.5,0,897.6153846,DDoS
5,0,9.566555323,1.594425887,3135925,0,0,1,6,0,7.2,DDoS
5,0,2.851515053,0.475252509,10520723,0,0,1,6,0,7.2,DDoS
5,0,3.280575842,0.54676264,9144736,0,0,1,6,0,7.2,DDoS
3,5,376900.3857,259.327693,30849,0,0,0,1291.888889,1,1453.375,DDoS
3,7,6542.092885,5.626638759,1777260,0,0,0,1057,2,1162.7,DDoS
8,6,154.2178088,0.185214834,75587898,0,0,1,777.5333333,0,833.0714286,DDoS
3,5,31645.03589,21.76225283,367609,0,0,0,1292.555556,1,1454.125,DDoS
3,6,46718.04433,36.16258699,248876,0,0,0,1162.7,2,1291.888889,DDoS
8,6,141.3487756,0.169671856,82512211,0,0,1,777.9333333,0,833.5,DDoS
8,5,157.7819173,0.175959932,73880456,0,0,1,833.0714286,0,897.1538462,DDoS
3,4,550912.1061,331.6749585,21105,0,0,0,1453.375,1,1661,DDoS
7,4,135.9072833636,1.9906526192,5525826,0,0,0,62.5833333333,0,68.2727272727,BENIGN
8,4,119.5484429,0.123002771,97558778,0,0,1,897.6153846,0,972.4166667,DDoS
6,4,11.2955531092,0.1162093941,86051563,0,0,0,91.6363636364,0,100.8,BENIGN
3,6,26877.72058,20.79424785,432812,0,0,0,1163.3,2,1292.555556,DDoS
3,0,9250000,750000,4,0,0,1,9.25,0,12.3333333333,BENIGN
1,1,2996.8268891762,58.7613115525,34036,0,0,0,48.3333333333,1,72.5,BENIGN
16,14,90.4410525126,0.4939434872,60735693,0,0,0,177.1935483871,0,183.1,BENIGN
1,1,592.5785462863,11.8515709257,168754,0,0,0,47.3333333333,1,71,BENIGN
2,2,11924.7724461641,126.8592813422,31531,0,0,0,81.6,1,102,BENIGN
3,5,8828.723671,6.071502568,1317631,0,0,0,1292.555556,1,1454.125,DDoS
2,0,0,666666.666666667,3,0,0,1,0,0,0,BENIGN
1,1,99173.5537190083,16528.9256198347,121,0,0,1,6,1,9,BENIGN
5,0,4.975251441,0.829208573,6029846,0,0,1,6,0,7.2,DDoS
3,6,6393.235388,4.948750193,1818641,0,0,0,1162.7,2,1291.888889,DDoS
5,0,16.33964679,2.723274465,1836025,0,0,1,6,0,7.2,DDoS
4,0,11.90483867,1.984139779,2015987,0,0,1,6,0,7.5,DDoS
1,1,0,26666.6666666667,75,0,0,1,0,1,0,BENIGN
2,2,1220125.78616352,12578.6163522013,318,0,0,0,83.8,1,104.75,BENIGN
14,10,61438.7737751111,145.7478077101,164668,0,0,0,404.68,0,421.5416666667,BENIGN
3,4,12734.03566,7.662533277,913536,0,0,0,1454.125,1,1661.857143,DDoS
2,2,4311.6216305171,65.8262844354,60766,0,0,0,59.8,1,74.75,BENIGN
3,6,6148.23412,4.756649796,1892088,0,0,0,1163.3,2,1292.555556,DDoS
1,1,4000000,666666.666666667,3,0,0,1,6,1,9,BENIGN
1,1,222222.222222222,37037.037037037,54,0,0,1,6,1,9,BENIGN
4,0,3.361438225,0.560239704,7139801,0,0,1,6,0,7.5,DDoS
3,5,6759.567871,4.648546632,1720968,0,0,0,1292.555556,1,1454.125,DDoS
3,5,7844.922347,5.394943589,1482870,0,0,0,1292.555556,1,1454.125,DDoS
1,1,1018.5892538834,21.2206094559,94248,0,0,0,48,1,72,BENIGN
8,6,141.4162324,0.169840204,82430424,0,0,1,777.5333333,0,833.0714286,DDoS
8,5,121.53061,0.135462397,95967592,0,0,1,833.5,0,897.6153846,DDoS
