Label	Total Fwd Packets	Total Backward Packets	Flow Bytes/s	Flow Packets/s	Flow Duration	FIN Flag Count	SYN Flag Count	ACK Flag Count	Packet Length Mean	Down/Up Ratio	Average Packet Size
BENIGN DDoS	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
class											
DDoS	5	0	2.59456	0.432426	1.15627e+07	0	0	1	6	0	7.2
BENIGN	2	2	16743.6	128.304	31176	0	0	0	111.4	1	139.25
DDoS	9	5	124.121	0.148992	9.3965e+07	0	0	1	777.933	0	833.5
DDoS	5	0	5.75937	0.959894	5.20891e+06	0	0	1	6	0	7.2
BENIGN	2	2	1.25275e+06	21978	182	0	0	0	55.4	1	69.25
DDoS	5	0	8.39166	1.39861	3.57498e+06	0	0	1	6	0	7.2
DDoS	3	6	18676	14.4489	622884	0	0	0	1163.3	2	1292.56
DDoS	3	5	16869.8	11.6014	689574	0	0	0	1292.56	1	1454.12
DDoS	4	0	2.37701	0.396168	1.00967e+07	0	0	1	6	0	7.5
BENIGN	2	2	8320.87	130.014	30766	0	0	0	61.2	1	76.5
DDoS	4	0	4.93129	0.821881	4.86688e+06	0	0	1	6	0	7.5
DDoS	3	5	315385	217.002	36866	0	0	0	1291.89	1	1453.38
BENIGN	2	2	733728	11834.3	338	0	0	0	55.4	1	69.25
DDoS	3	5	6162.46	4.23792	1.88772e+06	0	0	0	1292.56	1	1454.12
BENIGN	2	2	400853	4264.39	938	0	0	0	84.4	1	105.5
BENIGN	5	0	97.7787	16.8584	296588	0	0	1	4.83333	0	5.8
BENIGN	1	1	0	22222.2	90	0	0	1	0	1	0
BENIGN	1	1	272727	45454.5	44	0	0	1	6	1	9
DDoS	5	0	3.15864	0.52644	9.49776e+06	0	0	1	6	0	7.2
BENIGN	2	2	893281	15810.3	253	0	0	0	52	1	65
BENIGN	2	2	5547.31	129.007	31006	0	0	0	41.4	1	51.75
BENIGN	1	1	0	40816.3	49	0	0	1	0	1	0
DDoS	8	5	160.257	0.178628	7.2777e+07	0	0	1	833.5	0	897.615
DDoS	3	5	11839.2	8.1418	982584	0	0	0	1292.56	1	1454.12
BENIGN	3	0	0	400.16	7497	0	0	1	0	0	0
DDoS	3	4	318557	191.786	36499	0	0	0	1453.38	1	1661
DDoS	5	0	4.25965	0.709942	7.04283e+06	0	0	1	6	0	7.2
BENIGN	2	2	1.26667e+06	22222.2	180	0	0	0	53	1	66.25
BENIGN	2	2	7896.83	127.368	31405	0	0	0	57.4	1	71.75
DDoS	3	5	6462.15	4.44401	1.80017e+06	0	0	0	1292.56	1	1454.12
DDoS	4	0	11.137	1.85616	2.15498e+06	0	0	1	6	0	7.5
BENIGN	2	0	3e+06	500000	4	1	0	0	6	0	9
DDoS	3	4	9597.27	5.77502	1.21212e+06	0	0	0	1454.12	1	1661.86
BENIGN	2	2	1.4186e+06	23255.8	172	0	0	0	55.2	1	69
BENIGN	1	1	0	31250	64	0	0	1	0	1	0
DDoS	4	0	4.48694	0.747823	5.34886e+06	0	0	1	6	0	7.5
BENIGN	2	0	1.55e+07	1e+06	2	0	1	1	20.6667	0	31
BENIGN	2	2	1.35849e+06	25157.2	159	0	0	0	52.4	1	65.5
DDoS	4	0	3.12862	0.521437	7.67112e+06	0	0	1	6	0	7.5
DDoS	4	0	2.99971	0.499952	8.00077e+06	0	0	1	6	0	7.5
BENIGN	10	8	1976.09	4.42464	4.06812e+06	0	0	0	423.105	0	446.611
DDoS	5	0	10.7074	1.78456	2.80181e+06	0	0	1	6	0	7.2
DDoS	3	5	942220	648.298	12340	0	0	0	1291.89	1	1453.38
BENIGN	2	2	1.28421e+06	21052.6	190	0	0	0	55.8	1	69.75
DDoS	3	5	338535	232.931	34345	0	0	0	1291.89	1	1453.38
BENIGN	1	1	7870.73	64.2508	31128	0	0	0	99.3333	1	149
BENIGN	2	2	869565	21739.1	184	0	0	0	38.4	1	48
BENIGN	1	1	2157.45	23.7082	84359	0	0	0	80	1	120
DDoS	5	0	555.155	92.5258	54039	0	0	1	6	0	7.2
DDoS	3	5	106681	73.3642	109045	0	0	0	1292.56	1	1454.12
BENIGN	2	2	4800.56	63.1652	63326	0	0	0	72.2	1	90.25
BENIGN	10	9	87.04	0.371381	5.11604e+07	0	0	0	222.65	0	234.368
BENIGN	2	1	208738	14563.1	206	0	1	1	20	0	26.6667
DDoS	5	0	11.2954	1.88256	2.65595e+06	0	0	1	6	0	7.2
DDoS	8	5	120.18	0.134026	9.69963e+07	0	0	1	833.071	0	897.154
DDoS	5	0	3.20245	0.533742	9.36782e+06	0	0	1	6	0	7.2
BENIGN	1	1	0	25641	78	0	0	1	0	1	0
DDoS	3	5	8975.73	6.1726	1.29605e+06	0	0	0	1292.56	1	1454.12
BENIGN	2	0	9.25e+06	500000	4	0	1	1	24.6667	0	37
DDoS	3	4	9391.05	5.65094	1.23873e+06	0	0	0	1454.12	1	1661.86
BENIGN	1	1	184615	30769.2	65	0	0	1	6	1	9
DDoS	9	7	162.931	0.223518	7.15826e+07	0	0	1	686.412	0	729.312
BENIGN	20	17	49.5504	0.320238	1.15539e+08	0	0	0	150.658	0	154.73
DDoS	5	0	1.44973	0.241622	2.06934e+07	0	0	1	6	0	7.2
DDoS	3	5	126842	87.2743	91665	0	0	0	1291.89	1	1453.38
DDoS	3	4	6916.94	4.16432	1.68095e+06	0	0	0	1453.38	1	1661
BENIGN	6	6	32824.9	95.1905	126063	0	0	0	318.308	1	344.833
BENIGN	2	0	4e+06	666667	3	0	0	1	6	0	9
BENIGN	1	1	89.6168	4.16822	479821	1	0	0	16.3333	1	24.5
DDoS	8	7	130.334	0.167711	8.94396e+07	0	0	1	728.938	0	777.533
DDoS	3	7	6707.27	5.7687	1.73349e+06	0	0	0	1057	2	1162.7
DDoS	3	3	10151.3	5.23846	1.14538e+06	0	0	0	1661	1	1937.83
DDoS	3	4	13737.3	8.27049	846383	0	0	0	1453.38	1	1661
DDoS	8	5	160.566	0.179064	7.25996e+07	0	0	1	833.071	0	897.154
BENIGN	2	0	9.2446	0.249854	8.00467e+06	0	1	1	37	0	55.5
BENIGN	2	1	74074.1	12345.7	243	0	0	1	6	0	8
BENIGN	18	26	2296.13	2.83393	1.55261e+07	0	0	0	792.222	1	810.227
DDoS	3	5	6698.4	4.60648	1.73668e+06	0	0	0	1292.56	1	1454.12
BENIGN	1	1	1743.28	16.2923	122757	0	0	0	90.6667	1	136
